nodeID,xcoord,ycoord,floor,building,nodeType,longName,shortName,teamAssigned
DHALL05702,3480,790,2,15 Francis,HALL,Hallway 57 Floor 2,Hallway D5702,A
ASTAI0010G,1622,2556,G,BTM,STAI,Schlagler Stairs,Schlager Stairs,A
EHALL00501,2290,910,1,45 Francis,HALL,Hallway Node 3 Floor 1,HallE03,A
EHALL02801,2925,1050,1,45 Francis,HALL,Hallway Node 26 Floor 1,HallE26,A
DHALL03402,3925,740,2,15 Francis,HALL,Hallway 34 Floor 2,Hallway D3402,A
DHALL01102,4605,655,2,15 Francis,HALL,Hallway 11 Floor 2,Hallway D1102,A
BINFO00202,3136,963,2,45 Francis,INFO,Valet Service,INFO B0202,A
GDEPT01403,1580,1904,3,Shapiro,DEPT,Watkins Clinic C,Watkins Clinic C,A
CSERV001L1,2490,1043,L1,45 Francis,SERV,Volunteers Floor,Service C001L1,A
ELABS00201,2790,1290,1,45 Francis,LABS,Ambulatory X-Ray,X-Ray 1,A
CSERV001L2,2015,1280,L2,45 Francis,SERV,Interpreter Services,Service C001L2,A
GREST00602,1284,1821,2,Shapiro,REST,Restroom 17,Restroom 1 Shapiro Floor 2,A
ASTAI00101,1642,2596,1,BTM,STAI,Cafe Stairs,Cafe Staris,A
GHALL007L2,1578,2089,L2,Shapiro,HALL,Hallway MapNode 7 Floor L2,Hall,A
ASTAI00102,1650,2602,2,BTM,STAI,Stairs,Stairs Floor 2,A
GSTAI02602,1686,1931,2,Shapiro,STAI,Stairs Node 26 Floor 2,Floor 2 Stairs Upper,A
FHALL00801,1758,850,1,Tower,HALL,Tower Hallway 1,Hallway F00801,A
BDEPT00202,2166,1039,2,45 Francis,DEPT,Oral Medicine and Dentistry,DEPT B0202,A
DHALL04602,3825,760,2,15 Francis,HALL,Hallway 46 Floor 2,Hallway D4602,A
XELEV 1502,3739,2252,2,FLEX,ELEV,Elevator T 1,FLEX Elevator,A
EHALL01701,2910,907,1,45 Francis,HALL,Hallway Node 15 Floor 1,HallE15,A
DHALL02302,4270,440,2,15 Francis,HALL,Hallway 23 Floor 2,Hallway D2302,A
WELEV00LL1,1785,924,L1,Tower,ELEV,Elevator L 4,Elevator LL1,A
FEXIT00201,1748,1321,1,Tower,EXIT,75 Francis Valet Drop-off,75 Francis Exit,A
AHALL00701,1017,2865,1,BTM,HALL,Hall 7,Hall,A
HHALL01002,2055,1280,2,Tower,HALL,Hallway Connector 10,Hallway H01002,A
WELEV00LL2,1785,924,L2,Tower,ELEV,Elevator L 5,Elevator LL2,A
HHALL01003,1785,820,3,Tower,HALL,Hallway Connector 10 2,Hallway H01003,A
GREST004L2,1680,2090,L2,Shapiro,REST,Restroom 34,Restroom Shapiro L2,A
FSTAI00201,1673,802,1,Tower,STAI,Tower Stairway 1,Tower Stairs 1,A
IHALL01203,2220,1034,3,45 Francis,HALL,Hallway Node 12,H12,A
GHALL00901,1707,2164,1,Shapiro,HALL,Hallway MapNode 9 Floor 1,Hall,A
IDEPT00903,2631,851,3,45 Francis,DEPT,Gynecology,D9,A
FHALL01901,1758,1120,1,Tower,HALL,Tower Hallway 11,Hallway F01901,A
BHALL00902,2330,590,2,45 Francis,HALL,Hallway Intersection 9 Level 2,Hallway B0902,A
AHALL0090G,1524,2726,G,BTM,HALL,Hall 30,Hall,A
BHALL00802,2605,783,2,45 Francis,HALL,Hallway Intersection 8 Level 2,Hallway B0802,A
EHALL00601,2385,910,1,45 Francis,HALL,Hallway Node 4 Floor 1,HallE04,A
EHALL02901,2770,1070,1,45 Francis,HALL,Hallway Node 27 Floor 1,HallE27,A
ELABS00101,3050,730,1,45 Francis,LABS,Asthma Research Lab,Asthma 1,A
CHALL009L2,1730,849,L2,Tower,HALL,Hallway 9 Floor L2,Hallway C009L2,A
AELEV00S0G,1523,2763,G,BTM,ELEV,Elevator S 4,Elevator S G,A
FRETL00201,1609,1246,1,Tower,RETL,Au Bon Pain,ABP,A
DHALL03702,3965,860,2,15 Francis,HALL,Hallway 37 Floor 2,Hallway D3702,A
CHALL009L1,2220,904,L1,45 Francis,HALL,Hallway 9 Floor L1,Hallway C009L1,A
DHALL01402,4570,455,2,15 Francis,HALL,Hallway 14 Floor 2,Hallway D1402,A
BSTAI00502,2945,840,2,45 Francis,STAI,Staircase Intersection 5 Level 2,Stair B0502,A
FHALL00501,1950,910,1,Tower,HALL,Shattuck Street Lobby 3,Hallway F00501,A
IHALL02203,2362,764,3,45 Francis,HALL,Hallway Node 22,H22,A
AHALL00901,1581,2566,1,BTM,HALL,Hall 9,Hall,A
XHALL15702,3281,1134,2,45 Francis,HALL,45 sidewalk 1,45 sidewalk,A
DSTAI00802,3535,645,2,15 Francis,STAI,Staircase8 Floor2,Staircase8,A
BDEPT00302,2385,753,2,45 Francis,DEPT,Lee Bell Breast Center,DEPT B0302,A
FHALL02801,1748,1280,1,Tower,HALL,Lobby Entrance Hallway,HallwayF02801,A
GHALL03101,1227,1859,1,Shapiro,HALL,Hallway MapNode 31 Floor 1,Hall,A
BHALL01902,2678,1032,2,45 Francis,HALL,Hallway Intersection 19 Level 2,Hallway B1902,A
AELEV00S01,1534,2777,1,BTM,ELEV,Elevator S 1,Elevator S 1,A
BREST00402,2554,1389,2,45 Francis,REST,Restroom 11,REST B0402,A
EHALL01801,2925,910,1,45 Francis,HALL,Hallway Node 16 Floor 1,HallE16,A
AELEV00S03,1539,2773,3,BTM,ELEV,Elevator S 3,Elevator S 3,A
AELEV00S02,1532,2777,2,BTM,ELEV,Elevator S 2,Elevator S 2,A
WHALL01002,1690,2455,2,BTM,HALL,Hallway Connector 10 Floor 2,Hallway W1002,A
WELEV00ML1,1820,1284,L1,Tower,ELEV,Elevator M 4,Elevator ML1,A
AHALL00801,1532,2739,1,BTM,HALL,Hall 8,Hall,A
DHALL02602,4270,650,2,15 Francis,HALL,Hallway 26 Floor 2,Hallway D2602,A
DHALL00302,4725,995,2,15 Francis,HALL,Hallway 3 Floor 2,Hallway D0302,A
HHALL01103,1690,820,3,Tower,HALL,Hallway Connector 11,Hallway H01103,A
FSTAI00301,1947,1239,1,Tower,STAI,Lobby Escalator,Lobby Escalator,A
WELEV00ML2,1820,1280,L2,Tower,ELEV,Elevator M 5,Elevator ML2,A
DHALL04902,3645,775,2,15 Francis,HALL,Hallway 49 Floor 2,Hallway D4902,A
AEXIT0010G,1678,2460,G,BTM,EXIT,Fenwood Road,Fenwood Road,A
FHALL01601,1758,1060,1,Tower,HALL,Tower Hallway 8,Hallway F01601,A
IHALL01103,2922,1075,3,45 Francis,HALL,Hallway Node 11,H11,A
FDEPT00101,1617,825,1,Tower,DEPT,Center for International Medicine,CIM,A
BHALL00702,2672,902,2,45 Francis,HALL,Hallway Intersection 7 Level 2,Hallway B0702,A
DHALL01302,4545,460,2,15 Francis,HALL,Hallway 13 Floor 2,Hallway D1302,A
EHALL00701,2385,860,1,45 Francis,HALL,Hallway Node 5 Floor 1,HallE05,A
FRETL00101,1973,844,1,Tower,RETL,Lobby Vending Machine,VM Lobby,A
GDEPT03502,1580,2166,2,Shapiro,DEPT,Watkins B,Watkins B,A
HHALL00102,1875,925,2,Tower,HALL,Hallway Connector 1,Hallway H00102,A
DHALL03602,3955,830,2,15 Francis,HALL,Hallway 36 Floor 2,Hallway D3602,A
HHALL00103,1325,655,3,Tower,HALL,Hallway Connector 1 2,Hallway H00103,A
FINFO00101,1700,1226,1,Tower,INFO,75 Lobby Information Desk,Lobby Info Desk,A
DHALL05902,3420,850,2,15 Francis,HALL,Hallway 59 Floor 2,Hallway D5902,A
BSTAI00602,3217,886,2,45 Francis,STAI,Staircase Intersection 6 Level 2,Stair B0602,A
GHALL009L2,1578,2031,L2,Shapiro,HALL,Hallway MapNode 9 Floor L2,Hall,A
XHALL15802,3372,1219,2,45 Francis,HALL,45 sidewalk 2,45 sidewalk,A
FHALL00601,1869,930,1,Tower,HALL,Tower Lobby Entrance 1,Tower Entrance,A
BDEPT00402,2439,902,2,45 Francis,DEPT,Jen Center for Primary Care,DEPT B0402,A
GHALL03001,1256,1858,1,Shapiro,HALL,Hallway MapNode 30 Floor 1,Hall,A
BHALL01802,2610,953,2,45 Francis,HALL,Hallway Intersection 18 Level 2,Hallway B1802,A
DLABS00102,3830,775,2,15 Francis,LABS,MRI Associates Lab,MRI Associates,A
FHALL02901,1700,1280,1,Tower,HALL,75 Lobby,75 Lobby,A
GHALL03002,1580,2090,2,Shapiro,HALL,Hall Node 30 Floor 2,Hall,A
BREST00502,2782,1152,2,45 Francis,REST,Restroom 12,REST B0502,A
DHALL00202,4750,1080,2,15 Francis,HALL,Hallway 2 Floor 2,Hallway D0202,A
EHALL01901,2960,900,1,45 Francis,HALL,Hallway Node 17 Floor 1,HallE17,A
DHALL02502,4290,470,2,15 Francis,HALL,Hallway 25 Floor 2,Hallway D2502,A
HHALL01203,1600,820,3,Tower,HALL,Hallway Connector 12,Hallway H01203,A
DHALL04802,3655,805,2,15 Francis,HALL,Hallway 48 Floor 2,Hallway D4802,A
FDEPT00201,1610,1120,1,Tower,DEPT,Bretholtz Center for Patients and Families,Bretholtz WR,A
GSTAI01301,1750,2014,1,Shapiro,STAI,Staircase MapNode 13 Floor 1,Southbound Stairs Floor 1,A
IHALL01003,2772,1075,3,45 Francis,HALL,Hallway Node 10,H10,A
GINFO01902,1630,1821,2,Shapiro,INFO,Shapiro Information Center,Information Center Shapiro Floor 2,A
FHALL01701,1721,956,1,Tower,HALL,Tower Hallway 9,Hallway F01701,A
WHALL00402,2105,900,2,45 Francis,HALL,Hallway Connector 4 Floor 2,Hallway W0402,A
EHALL00801,2460,910,1,45 Francis,HALL,Hallway Node 6 Floor 1,HallE06,A
DHALL01602,4480,580,2,15 Francis,HALL,Hallway 16 Floor 2,Hallway D1602,A
AINFO001L2,1681,2747,L2,BTM,INFO,BTM Security Desk 2,Security,A
HDEPT00102,2055,1330,2,Tower,DEPT,Endoscopy,Endoscopy,A
HDEPT00103,1725,900,3,Tower,DEPT,Dialysis Waiting Room,Dialysis WR,A
DREST00102,4125,625,2,15 Francis,REST,Restroom 13,Restroom B,A
DHALL03902,3980,910,2,15 Francis,HALL,Hallway 39 Floor 2,Hallway D3902,A
CHALL010L2,2130,849,L2,Tower,HALL,Hallway 10 Floor L2,Hallway C010L2,A
FHALL02601,2026,1239,1,Tower,HALL,Lobby Hallway 4,Hallway F02601,A
FHALL00301,2017,910,1,Tower,HALL,Shattuck Street Lobby 1,Hallway F00301,A
CHALL010L1,2265,904,L1,45 Francis,HALL,Hallway 10 Floor L1,Hallway C010L1,A
ALABS00203,1671,2695,3,BTM,LABS,Clinical Trials,Clinical Trials,A
GHALL01802,1630,1801,2,Shapiro,HALL,Hall Node 18 Floor 2,Hall,A
GHALL004L1,1666,2167,L1,Shapiro,HALL,Hallway MapNode 4 Floor L1,Hall,A
BHALL03202,2554,1472,2,45 Francis,HALL,Hallway Intersection 32 Level 2,Hallway B3202,A
IHALL00503,2730,1290,3,45 Francis,HALL,Hallway Node 5,H5,A
GLABS015L2,1512,1811,L2,Shapiro,LABS,CVRR,CVRR,A
HRETL00302,1825,1080,2,Tower,RETL,Gift Shop Tower,Gift Shop,A
GSERV01603,1580,1858,3,Shapiro,SERV,The Porch,The Porch,A
BSTAI01002,2238,932,2,45 Francis,STAI,Staircase Intersection 10 Level 2,Stair B1002,A
AHALL0140G,1599,2727,G,BTM,HALL,Hall 35,Hall,A
FSERV00101,1950,871,1,Tower,SERV,Shattuck Street Lobby ATM,Lobby ATM,A
DHALL02802,4220,660,2,15 Francis,HALL,Hallway 28 Floor 2,Hallway D2802,A
DHALL00502,4705,925,2,15 Francis,HALL,Hallway 5 Floor 2,Hallway D0502,A
AHALL00202,1590,2604,2,BTM,HALL,Hall 13,Hall,A
WHALL002L2,1745,1539,L2,Shapiro,HALL,Hallway Connector 2 Floor L2,Hallway W02L2,A
AHALL00203,1600,2732,3,BTM,HALL,Hall 19,Hall,A
AHALL00201,1608,2596,1,BTM,HALL,Hall 2,Hall,A
FHALL01401,1627,1029,1,Tower,HALL,Tower Hallway 6,Hallway F01401,A
FDEPT00301,1721,931,1,Tower,DEPT,Multifaith Chapel,Chapel,A
IREST00103,2255,1255,3,45 Francis,REST,Restroom 23,R1,A
IHALL01703,2323,851,3,45 Francis,HALL,Hallway Node 17,H17,A
GHALL02902,1728,2042,2,Shapiro,HALL,Hall Node 29 Floor 2,Hall,A
BHALL02102,2841,1032,2,45 Francis,HALL,Hallway Intersection 21 Level 2,Hallway B2102,A
BHALL04402,3063,963,2,45 Francis,HALL,Hallway Intersection 44 Level 2,Hallway B4402,A
GHALL02901,1262,1850,1,Shapiro,HALL,Hallway MapNode 29 Floor 1,Hall,A
GHALL00603,1685,2142,3,Shapiro,HALL,Hallway Node 6 Floor 3,Hall,A
GLABS003L2,1729,2089,L2,Shapiro,LABS,Cardiovascular Imaging Center,Cardiovascular Imaging Center,A
GHALL00601,1707,2015,1,Shapiro,HALL,Hallway MapNode 6 Floor 1,Hall,A
ESTAI00101,2190,910,1,45 Francis,STAI,Staircase K1 Floor 1,Stair K1,A
IDEPT00403,2738,1227,3,45 Francis,DEPT,General Surgical Specialties Suite B,D4,A
EHALL00901,2585,910,1,45 Francis,HALL,Hallway Node 7 Floor 1,HallE07,A
WHALL00302,2085,900,2,45 Francis,HALL,Hallway Connector 3 Floor 2,Hallway W0302,A
AHALL0040G,1528,2531,G,BTM,HALL,Hall 25,Hall,A
DHALL03802,3970,880,2,15 Francis,HALL,Hallway 38 Floor 2,Hallway D3802,A
DREST00202,3895,695,2,15 Francis,REST,Restroom 14,Restroom C,A
DHALL01502,4555,390,2,15 Francis,HALL,Hallway 15 Floor 2,Hallway D1502,A
AHALL001L2,1627,2782,L2,BTM,HALL,Hallway to Elevator,Hall,A
CHALL011L1,2360,849,L1,45 Francis,HALL,Hallway 11 Floor L1,Hallway C011L1,A
FHALL02701,2066,1239,1,Tower,HALL,Lobby Hallway 7,Hallway F02701,A
FHALL00401,1973,910,1,Tower,HALL,Shattuck Street Lobby 2,Hallway F00401,A
BHALL03102,2554,1280,2,45 Francis,HALL,Hallway Intersection 31 Level 2,Hallway B3102,A
IHALL00403,2570,1290,3,45 Francis,HALL,Hallway Node 4,H4,A
GHALL003L1,1688,2167,L1,Shapiro,HALL,Hallway MapNode 3 Floor L1,Hall,A
GHALL01702,1578,1820,2,Shapiro,HALL,Hall Node 17 (Exit?) Floor 2,Hall,A
GLABS014L2,1512,1844,L2,Shapiro,LABS,Cardiac Stress Test Lab,Cardiac Stress Test Lab,A
GHALL01701,1605,2093,1,Shapiro,HALL,Hallway MapNode 17 Floor 1,Hall,A
HRETL00202,1615,1025,2,Tower,RETL,Vending Machine,Vending Machine,A
WHALL001L2,1745,1524,L2,Tower,HALL,Hallway Connector 1 Floor L2,Hallway W01L2,A
AHALL0150G,1598,2532,G,BTM,HALL,Hall 36,Hall,A
DHALL02702,4285,715,2,15 Francis,HALL,Hallway 27 Floor 2,Hallway D2702,A
AHALL00303,1650,2732,3,BTM,HALL,Hall 20,Hall,A
DHALL00402,4785,975,2,15 Francis,HALL,Hallway 4 Floor 2,Hallway D0402,A
AHALL00301,1608,2737,1,BTM,HALL,Hall 3,Hall,A
AHALL00302,1590,2745,2,BTM,HALL,Hall 14,Hall,A
FREST00101,2091,976,1,Tower,REST,Restroom 5,Bathroom Lobby,A
FDEPT00401,1794,1146,1,Tower,DEPT,Sharf Admitting Center,Sharf Center,A
FHALL01501,1627,1060,1,Tower,HALL,Tower Hallway 7,Hallway F01501,A
IHALL01603,2252,851,3,45 Francis,HALL,Hallway Node 16,H16,A
BHALL02002,2761,1032,2,45 Francis,HALL,Hallway Intersection 20 Level 2,Hallway B2002,A
BHALL04302,2782,1067,2,45 Francis,HALL,Hallway Intersection 43 level 2,Hallway B04302,A
GHALL02801,1270,1830,1,Shapiro,HALL,Hallway MapNode 28 Floor 1,Hall,A
GHALL00502,1283,1781,2,Shapiro,HALL,Hall Node 5 Floor 2,Hall,A
IREST00203,2570,1257,3,45 Francis,REST,Restroom 24,R2,A
IDEPT00503,2868,1075,3,45 Francis,DEPT,Urology,D5,A
WHALL00203,2080,1290,3,45 Francis,HALL,Hallway Connector 2 Floor 3,Hallway W0203,A
WHALL00202,3360,860,2,15 Francis,HALL,Hallway Connector 2 Floor 2,Hallway W0202,A
AHALL0050G,1713,2558,G,BTM,HALL,Hall 26,Hall,A
AREST00101,1556,2604,1,BTM,REST,Restroom 1,Restroom,A
EDEPT00101,2335,860,1,45 Francis,DEPT,Waiting Room 1,Wait 1,A
WHALL00201,2175,910,1,45 Francis,HALL,Hallway Connector 2 Floor 1,Hallway W0201,A
ESTAI00301,2790,1155,1,45 Francis,STAI,Staircase H1 Floor 1,Stair H1,A
AREST00103,1552,2854,3,BTM,REST,Restroom BTM Conference Center,Restroom,A
AHALL002L2,1698,2776,L2,BTM,HALL,Hallway Intersection,Hall,A
DREST00302,3635,830,2,15 Francis,REST,Restroom 15,Restroom C-D,A
CDEPT004L1,2310,1043,L1,45 Francis,DEPT,Medical Records Film Library,Department C004L1,A
BSTAI00102,2177,902,2,45 Francis,STAI,Staircase Intersection 1 Level 2,Stair B0102,A
DHALL01802,4385,585,2,15 Francis,HALL,Hallway 18 Floor 2,Hallway D1802,A
FHALL02401,1965,1280,1,Tower,HALL,Lobby Hallway 2,Hallway F02401,A
BHALL03002,2782,1165,2,45 Francis,HALL,Hallway Intersection 30 Level 2,Hallway B3002,A
GHALL006L1,1665,2116,L1,Shapiro,HALL,Hallway MapNode 6 Floor L1,Hall,A
IHALL00303,2448,1290,3,45 Francis,HALL,Hallway Node 3,H3,A
FHALL00101,2055,910,1,Tower,HALL,Lower Pike Hallway Exit Lobby,Hallway F00101,A
HRETL00102,1935,860,2,Tower,RETL,Garden Cafe,Garden Cafe,A
CRETL001L1,2185,904,L1,45 Francis,RETL,Vending Machine 2,Retail C001L1,A
AHALL00402,1528,2745,2,BTM,HALL,Hall 15,Hall,A
ALABS001L2,1667,2682,L2,BTM,LABS,MRI CT Scan Imaging,MRI CT Imaging,A
AHALL00403,1650,2766,3,BTM,HALL,Hall 21,Hall,A
AHALL00401,1420,2737,1,BTM,HALL,Hall 4,Hall,A
DHALL00702,4675,820,2,15 Francis,HALL,Hallway 7 Floor 2,Hallway D0702,A
EEXIT00101,2275,785,1,45 Francis,EXIT,Ambulance Parking Exit,AmbExit 1,A
GHALL017L2,1512,1539,L2,Shapiro,HALL,Hallway MapNode 17 Floor L2,Hall,A
FDEPT00501,2128,1300,1,Tower,DEPT,Emergency Department,Emergency,A
BHALL04202,2761,1067,2,45 Francis,HALL,Hallway Intersection 42 Level 2,Hallway B04202,A
GHALL00803,1685,2106,3,Shapiro,HALL,Hallway Node 8 Floor 3,Hall,A
FHALL01201,1548,930,1,Tower,HALL,Tower Staff Entrance,Hallway F01201,A
GHALL00801,1707,2152,1,Shapiro,HALL,Hallway MapNode 8 Floor 1,Hall,A
IHALL01503,2220,944,3,45 Francis,HALL,Hallway Node 15,H15,A
AINFO0010G,1484,2710,G,BTM,INFO,BTM Security Desk 1,Security,A
DHALL06002,4330,580,2,15 Francis,HALL,Hallway 60 Floor 2,Hallway D6002,A
HSTAI00202,1695,1165,2,Tower,STAI,Stairwell 2 Tower,Stairwell 0202,A
IDEPT00603,2333,764,3,45 Francis,DEPT,Maternal Fetal Practice,D6,A
WHALL00103,2060,1290,3,45 Francis,HALL,Hallway Connector 1 Floor 3,Hallway W0103,A
HDEPT00203,1690,830,3,Tower,DEPT,MICU 3BC Waiting Room,MICU 3BC WR,A
AHALL0060G,1595,2583,G,BTM,HALL,Hall 27,Hall,A
ESTAI00201,2275,830,1,45 Francis,STAI,Staircase J1 Floor 1,Stair J1,A
WHALL00102,3345,865,2,45 Francis,HALL,Hallway Connector 1 Floor 2,Hallway W0102,A
WHALL00101,2160,910,1,45 Francis,HALL,Hallway Connector 1 Floor 1,Hallway W0101,A
DHALL01702,4390,605,2,15 Francis,HALL,Hallway 17 Floor 2,Hallway D1702,A
DREST00402,3525,850,2,15 Francis,REST,Restroom 16,Restroom D,A
AHALL003L2,1701,2734,L2,BTM,HALL,Hall 37,Hall,A
BSTAI00202,2279,827,2,45 Francis,STAI,Staircase Intersection 2 Level 2,Stair B0202,A
CDEPT003L1,1845,844,L1,Tower,DEPT,Day Surgery Family Waiting Exit,Department C003L1,A
FHALL00201,2026,910,1,Tower,HALL,Lobby Shattuck Street,Hallway F00201,A
IHALL00203,2323,1290,3,45 Francis,HALL,Hallway Node 2,H2,A
FHALL02501,1965,1239,1,Tower,HALL,Lobby Hallway 3,Hallway F02501,A
GHALL005L1,1688,2131,L1,Shapiro,HALL,Hallway MapNode 5 Floor L1,Hall,A
GHALL005L2,1642,2089,L2,Shapiro,HALL,Hallway MapNode 5 Floor L2,Hall,A
XEXIT  102,3063,1095,2,45 Francis,EXIT,45 Francis Entrance,45 Entrance,A
AHALL00503,1650,2855,3,BTM,HALL,Hall 22,Hall,A
DHALL00602,4690,870,2,15 Francis,HALL,Hallway 6 Floor 2,Hallway D0602,A
AHALL00501,1420,2865,1,BTM,HALL,Hall 5,Hall,A
AHALL00502,1398,2745,2,BTM,HALL,Hall 16,Hall,A
FLABS00101,1845,1250,1,Tower,LABS,Obstetrics Admitting,Obs Admitting,A
EEXIT00201,2950,705,1,45 Francis,EXIT,Exit 2,Exit 2,A
EHALL03001,2790,1070,1,45 Francis,HALL,Hallway Node 28 Floor 1,HallE28,A
DHALL02902,4185,665,2,15 Francis,HALL,Hallway 29 Floor 2,Hallway D2902,A
FHALL01301,1627,825,1,Tower,HALL,Tower Hallway 5,Hallway F01301,A
GHALL016L2,1512,1701,L2,Shapiro,HALL,Hallway MapNode 16 Floor L2,Hall,A
FDEPT00601,1780,1029,1,Tower,DEPT,International Patient Center,IPC,A
GHALL00703,1685,2230,3,Shapiro,HALL,Hallway Node 7 Floor 3,Hall,A
BHALL04102,2678,1067,2,45 Francis,HALL,Hallway Intersection 41 Level 2,Hallway B04102,A
GHALL00701,1708,2092,1,Shapiro,HALL,Hallway MapNode 7 Floor 1,Hall,A
IHALL01403,2323,993,3,45 Francis,HALL,Hallway Node 14,H14,A
HSTAI00302,1790,1230,2,Tower,STAI,Escalator 1,Escalator 1,A
IDEPT00703,2400,764,3,45 Francis,DEPT,Obstetrics,D7,A
AINFO0020G,1699,2707,G,BTM,INFO,Information Desk 2,Information,A
CLABS002L1,1750,1090,L1,Tower,LABS,Pre-Op PACU,Lab C002L1,A
AHALL01001,1605,2568,1,BTM,HALL,Hall 10,Hall,A
HHALL00603,1735,925,3,Tower,HALL,Hallway Connector 6 2,Hallway H00603,A
CLABS002L2,2215,1280,L2,45 Francis,LABS,Radiation Oncology Lab,Lab C002L2,A
EDEPT00301,3200,880,1,45 Francis,DEPT,Ocupational Health Department,Ocupational 1,A
DHALL05002,3630,810,2,15 Francis,HALL,Hallway 50 Floor 2,Hallway D5002,A
HBATH00102,1605,1008,2,Tower,REST,Restroom 19,Bathroom 0102,A
HBATH00103,1785,830,3,Tower,REST,Restroom 21,Bathroom 0103,A
BDEPT00902,3257,879,2,45 Francis,DEPT,Weiner Center for Preoperative Evaluation,DEPT B0902,A
GHALL03702,1692,2211,2,Shapiro,HALL,Hall Node 37 Floor 2,Hall,A
BHALL00202,2279,902,2,45 Francis,HALL,Hallway Intersection 2 Level 2,Hallway B0202,A
WHALL00802,1720,1745,2,Shapiro,HALL,Hallway Connector 8 Floor 2,Hallway W0802,A
HHALL00602,1775,1080,2,Tower,HALL,Hallway Connector 6,Hallway H00602,A
BLABS00102,2246,1350,2,45 Francis,LABS,Vascular Diagnostic Lab,Labs B0102,A
DSTAI00202,4320,550,2,15 Francis,STAI,Staircase2 Floor2,Staircase2,A
FHALL02201,1769,1280,1,Tower,HALL,Hallway Lobby Entrance,Entrance Hallway,A
CHALL014L1,1845,924,L1,Tower,HALL,Hallway 14 Floor L1,Hallway C014L1,A
XEXIT  202,3867,1923,2,FLEX,EXIT,Flexible Workspaces Entrance,Flex Entrance,A
BHALL01302,3135,890,2,45 Francis,HALL,Hallway Intersection 13 Level 2,Hallway B1302,A
GHALL01402,1450,1820,2,Shapiro,HALL,Hall Node 14 Floor 2,Hall,A
GHALL01401,1749,2151,1,Shapiro,HALL,Hallway MapNode 14 Floor 1,Hall,A
BHALL03602,2279,762,2,45 Francis,HALL,Hallway Intersection 36 Level 2,Hallway B3602,A
IHALL00903,2649,1075,3,45 Francis,HALL,Hallway Node 9,H9,A
DINFO00202,3490,825,2,15 Francis,INFO,Security Desk Thorn,Security Desk,A
GELEV00Q01,1648,2161,1,Shapiro,ELEV,Elevator Q 1,Elevator Q Floor 1,A
